id,inDegree
12851,40
17079,40
14228,40
19027,40
10886,40
13602,40
18537,40
21473,40
21133,40
17994,40
15403,40
19632,40
12116,40
11430,40
20744,40
18368,40
14257,40
12011,40
1917,40
12252,40
16560,40
17163,40
16921,40
8790,40
19302,40
14585,40
19252,39
13264,39
12496,39
18527,39
20969,39
16308,39
12874,39
9578,39
12025,39
8795,39
9235,39
20760,39
9829,39
2416,39
22012,39
17545,39
13074,39
11248,39
14680,39
14660,39
17357,39
21229,39
15830,39
22080,39
13408,39
20941,39
16226,39
21812,39
21284,39
6129,38
9504,38
16508,38
11193,38
21946,38
21684,38
20514,38
18359,38
20128,38
13908,38
6625,38
19803,38
16188,38
21572,38
21750,38
11797,38
4995,38
12283,38
12353,38
19885,38
16330,38
20730,38
20924,38
16799,38
17051,38
20617,38
11449,38
12305,38
7250,38
11231,38
12745,38
10007,38
15567,38
7945,38
15300,38
13932,38
21961,38
15096,38
16716,37
15594,37
21519,37
11550,37
18677,37
19368,37
14209,37
20228,37
19732,37
18529,37
16328,37
7789,37
20093,37
18782,37
5953,37
10978,37
8874,37
18690,37
12573,37
20900,37
22190,37
21718,37
12017,37
22015,37
15986,37
17092,37
17171,37
3972,37
22378,37
18207,36
15928,36
21272,36
16071,36
16777,36
5622,36
16506,36
14718,36
12286,36
10039,36
15957,36
21610,36
20547,36
20824,36
9807,36
21703,36
6160,36
13435,36
19701,36
19841,36
9496,36
10792,36
14335,36
5503,36
12155,36
15317,36
19922,36
19551,36
13555,36
21093,36
18678,36
4907,36
16746,36
19474,36
19705,36
6696,36
22040,36
13211,36
20495,36
22239,36
11387,36
14106,35
20047,35
19091,35
22460,35
7983,35
9255,35
10666,35
20170,35
11473,35
17540,35
18448,35
9871,35
15523,35
21168,35
20682,35
22181,35
13232,35
20624,35
15909,35
22007,35
22280,35
12645,35
10707,35
22228,35
21733,35
12243,35
21533,35
18972,35
8348,35
17536,35
21213,35
13737,35
9373,35
16805,35
11062,35
14605,35
20031,35
19669,35
6747,35
17691,35
11016,35
17586,35
12300,34
13252,34
20778,34
22385,34
19703,34
14219,34
18534,34
14824,34
12548,34
16868,34
14379,34
20013,34
20049,34
9893,34
11022,34
12031,34
19876,34
13327,34
16993,34
20214,34
8669,34
18627,34
15690,34
6137,34
12917,34
17977,34
9645,34
14815,34
7091,34
16124,34
15122,34
20776,34
20168,34
21231,34
9561,34
19513,34
20020,34
14082,34
22076,34
19978,33
14207,33
17110,33
12740,33
20080,33
20621,33
19810,33
10043,33
21926,33
16885,33
18982,33
15606,33
14439,33
9512,33
9706,33
21784,33
20801,33
16428,33
13862,33
20827,33
7050,33
20568,33
8985,33
13020,33
11432,33
16283,33
12654,33
17645,33
13122,33
7364,33
14799,33
10528,33
14694,33
9263,33
16557,33
14271,33
19582,33
22401,33
22404,33
11546,33
5636,33
12993,33
17686,33
21855,33
12071,33
7961,33
732,33
14166,33
6818,33
14063,33
12521,33
1370,33
22369,33
19890,33
15961,33
16846,33
15151,33
4063,33
18866,33
16689,33
19225,33
17707,33
17592,33
21659,33
20823,33
7325,32
15240,32
16565,32
19144,32
17620,32
19404,32
17220,32
22219,32
7400,32
20252,32
7822,32
16787,32
21498,32
7108,32
13719,32
20577,32
21012,32
20601,32
5518,32
17909,32
18002,32
15385,32
2608,32
17464,32
14469,32
18721,32
20470,32
19919,32
1387,32
22241,32
9996,32
20710,32
15368,32
5432,32
21035,32
22177,32
12972,32
20844,32
21068,32
5525,32
16668,32
21450,32
20092,32
8827,32
22084,32
14840,32
13323,32
11966,32
10860,32
16133,32
15976,32
19101,32
20079,32
19022,32
20095,32
21096,32
18580,32
21555,32
12472,31
13487,31
9188,31
16464,31
15425,31
21236,31
9678,31
12254,31
11166,31
8001,31
14426,31
17821,31
15824,31
17897,31
22229,31
8316,31
15648,31
18673,31
10104,31
13134,31
11315,31
9104,31
20862,31
18994,31
16036,31
17922,31
16336,31
17891,31
9784,31
18393,31
20811,31
21172,31
21588,31
21998,31
18483,31
18779,31
1959,31
10749,31
19748,31
13175,31
8271,31
10005,31
7663,31
9939,31
8153,31
16399,31
9910,31
21646,31
11834,31
18289,31
17535,31
14633,31
8910,31
8129,31
9949,31
11266,31
10947,31
9367,31
16155,31
6536,31
18589,31
22278,31
16499,30
7867,30
9567,30
15046,30
20781,30
15871,30
16015,30
6621,30
21328,30
11746,30
22444,30
11324,30
21626,30
20785,30
14597,30
14164,30
21226,30
12869,30
13309,30
9813,30
20162,30
22261,30
9074,30
11134,30
3070,30
9035,30
17308,30
22305,30
15686,30
15884,30
13267,30
8691,30
11228,30
6940,30
18012,30
21510,30
17374,30
17208,30
22001,30
6232,30
18410,30
10789,30
17762,30
21122,30
11043,30
22164,30
18746,30
9514,30
18893,30
7745,30
20927,30
16210,30
15745,30
14350,30
22094,30
22144,30
18066,30
20578,30
21141,30
17296,30
12704,30
10576,30
16997,30
22407,30
22187,30
6189,29
19653,29
16813,29
11617,29
2929,29
21658,29
20538,29
16938,29
20708,29
11223,29
18975,29
9761,29
21385,29
21940,29
9957,29
10017,29
5049,29
16311,29
2134,29
20646,29
20045,29
14546,29
17924,29
13396,29
9128,29
18917,29
20439,29
21085,29
14128,29
18280,29
20334,29
15717,29
14624,29
16121,29
12183,29
11683,29
19660,29
15560,29
15289,29
21995,29
8095,29
4963,29
15969,29
16370,29
12458,29
18642,29
17516,29
20876,29
20938,29
20818,29
14918,29
7165,29
11557,29
18168,29
19906,29
18842,29
14604,29
14850,29
18270,29
15535,29
21194,29
22266,29
21542,29
20444,28
10828,28
13551,28
22423,28
17354,28
14577,28
21586,28
18827,28
15735,28
14998,28
11347,28
10515,28
10198,28
12587,28
14344,28
18288,28
19289,28
19492,28
21157,28
12334,28
15037,28
5369,28
8062,28
9562,28
20163,28
18601,28
12097,28
22421,28
20493,28
10574,28
15749,28
11140,28
15488,28
14551,28
18992,28
11118,28
18888,28
13626,28
9905,28
19307,28
20837,28
8972,28
14677,28
10264,28
19780,28
6720,28
20606,28
17229,28
20217,28
9149,28
6926,28
10391,28
9934,28
17369,28
11892,28
4003,28
13368,28
14095,28
14623,28
11063,28
18913,28
5952,28
20068,28
11977,28
14368,28
17792,28
6029,28
14966,28
21079,28
21848,28
11112,27
21103,27
17126,27
16902,27
22024,27
16975,27
20826,27
10912,27
19588,27
17441,27
4296,27
20271,27
12175,27
10814,27
14795,27
10577,27
10208,27
5064,27
17350,27
18858,27
16749,27
11408,27
21605,27
17542,27
12209,27
21813,27
9681,27
20911,27
15947,27
6980,27
21225,27
7442,27
15072,27
6373,27
4653,27
17423,27
10047,27
19041,27
18010,27
21645,27
5945,27
11340,27
9843,27
16639,27
8932,27
9987,27
17659,27
21349,27
12394,27
2974,27
12463,27
7558,27
19423,27
15784,27
21307,27
15562,27
21666,27
8740,27
21599,27
20246,27
10364,27
15592,27
18976,27
21423,27
21800,27
16090,27
22035,27
21398,27
22074,27
20347,27
22414,27
19575,27
21269,27
16824,27
19979,26
19955,26
17988,26
7093,26
14521,26
10106,26
14622,26
18425,26
10630,26
18548,26
18336,26
19270,26
11553,26
14334,26
11785,26
21964,26
16534,26
15364,26
18661,26
17373,26
7978,26
17939,26
8286,26
15416,26
14973,26
21105,26
19881,26
12106,26
17771,26
3735,26
18097,26
20035,26
10932,26
20589,26
16086,26
16685,26
6666,26
17544,26
17579,26
10945,26
7765,26
4886,26
18656,26
16545,26
18971,26
19556,26
20156,26
12837,26
21674,26
21756,26
15131,26
16406,26
6993,26
13929,26
10393,26
12139,26
19574,26
19893,26
11079,26
4948,26
11036,26
16400,26
16035,26
15437,26
10674,26
13598,26
18931,26
16436,26
17228,26
21545,26
17323,26
19483,25
14178,25
15430,25
17198,25
20584,25
9330,25
10530,25
14969,25
17216,25
19477,25
13791,25
11480,25
12589,25
15632,25
19957,25
21492,25
18905,25
21334,25
16426,25
7606,25
15512,25
3838,25
21988,25
13432,25
22242,25
20462,25
19037,25
17045,25
22389,25
12459,25
14580,25
21335,25
7295,25
12075,25
16779,25
21055,25
12143,25
18128,25
8629,25
14071,25
7015,25
15537,25
8531,25
20146,25
19509,25
10887,25
21371,25
8879,25
9625,25
8517,25
13595,25
13423,25
12495,25
22025,25
16973,25
21611,25
18006,25
20838,25
14485,25
19501,25
20071,25
10214,25
20795,25
12641,25
3530,25
20076,25
18052,25
9287,25
5307,25
22243,25
13104,25
14770,25
19129,25
15645,25
21066,25
7722,25
12980,25
22446,25
14049,25
18688,25
20857,25
8601,25
16519,25
6316,25
13794,25
14898,25
21253,25
19030,25
17105,25
14259,24
14531,24
14562,24
16948,24
10182,24
9557,24
14875,24
17099,24
3403,24
2596,24
18074,24
19894,24
20513,24
13385,24
19753,24
11103,24
19023,24
10672,24
6706,24
8712,24
5469,24
21739,24
22386,24
19380,24
2572,24
8896,24
6213,24
17612,24
21241,24
20463,24
13680,24
13790,24
19936,24
20672,24
18226,24
16994,24
12135,24
2625,24
14240,24
18964,24
18708,24
20341,24
16999,24
14356,24
17416,24
4112,24
12440,24
13400,24
17798,24
12247,24
22008,24
20695,24
6677,24
19341,24
12609,24
6618,24
16950,24
4897,24
5975,24
13825,24
16417,24
17764,24
20948,24
22226,24
19493,24
21235,24
20008,24
20872,24
18725,24
19937,24
21030,24
18869,24
17130,24
11560,24
13922,24
12308,24
7917,24
18115,24
22010,24
5451,24
19625,24
12512,24
13984,24
16091,24
10416,24
4499,24
19093,24
8329,24
19457,24
4476,24
12853,24
11536,24
15147,24
21232,24
16119,24
21652,24
19209,24
12344,24
17145,24
13758,24
19437,23
12929,23
10566,23
10967,23
7833,23
19961,23
8773,23
16611,23
18086,23
6349,23
20280,23
8002,23
19634,23
21721,23
18532,23
9928,23
15008,23
6780,23
20073,23
12524,23
14155,23
17014,23
12871,23
21036,23
14400,23
8734,23
20295,23
9379,23
14476,23
16564,23
8120,23
21549,23
18349,23
15026,23
17389,23
15698,23
17391,23
22029,23
8568,23
12160,23
19700,23
6914,23
21384,23
6422,23
15936,23
19264,23
19033,23
5280,23
14045,23
14169,23
6932,23
16223,23
8606,23
16095,23
3630,23
17599,23
19896,23
13649,23
3097,23
10685,23
6398,23
20951,23
1654,23
9571,23
15419,23
13128,23
16139,23
8417,23
20555,23
8926,23
12569,23
15657,23
21993,23
20504,23
19930,23
20059,23
10318,23
15476,23
20012,23
14409,23
20798,23
20502,23
16594,23
3973,23
16442,23
19759,23
16023,23
12698,23
7298,23
5748,23
19553,23
21487,23
19665,23
14382,23
19003,23
17439,23
20839,23
6576,23
18230,23
20259,23
12446,23
14322,23
13206,22
10205,22
17933,22
16900,22
17719,22
12513,22
22042,22
6040,22
6735,22
9394,22
16990,22
12450,22
16437,22
16270,22
7198,22
11199,22
21556,22
12520,22
15258,22
14733,22
9109,22
15301,22
21967,22
22426,22
10117,22
8999,22
19268,22
21598,22
16892,22
3300,22
16087,22
20703,22
12470,22
14090,22
14245,22
12280,22
21389,22
21462,22
13272,22
19545,22
14467,22
9946,22
21110,22
5785,22
14768,22
13443,22
12001,22
19626,22
10370,22
13574,22
18594,22
13253,22
9356,22
14186,22
5149,22
7320,22
7412,22
12534,22
9651,22
20696,22
12032,22
20706,22
11260,22
20025,22
4751,22
18821,22
15849,22
17359,22
20694,22
12250,22
13597,22
7219,22
15448,22
14147,22
16103,22
12150,22
14643,22
12490,22
21155,22
14506,22
16033,22
12911,22
21409,22
11999,22
15511,22
16475,22
17478,22
10785,22
14429,22
10972,22
21643,22
21057,22
17154,22
15586,22
4738,22
21259,22
17979,22
7800,22
22160,22
21419,22
20200,22
17993,22
10509,22
20663,22
18188,22
10013,22
19593,22
12518,22
16965,22
21753,22
22168,22
13285,22
16956,22
16127,21
15552,21
20232,21
16511,21
21747,21
17217,21
20764,21
8015,21
6474,21
21595,21
4211,21
8389,21
18382,21
8537,21
17578,21
21394,21
17248,21
12095,21
18852,21
20452,21
19491,21
10386,21
8434,21
21622,21
14199,21
5650,21
15756,21
15323,21
5317,21
12249,21
11895,21
17127,21
12536,21
8837,21
12714,21
12988,21
18462,21
18201,21
15950,21
11849,21
8857,21
22179,21
14696,21
11562,21
16286,21
4000,21
22240,21
18773,21
19228,21
15111,21
21399,21
17292,21
15195,21
11145,21
15188,21
16835,21
13831,21
8576,21
18470,21
14016,21
20084,21
19083,21
13731,21
8749,21
22296,21
17560,21
15980,21
19783,21
21785,21
6175,21
18024,21
4399,21
8168,21
12058,21
19973,21
20159,21
16887,21
16177,21
10261,21
22030,21
8443,21
9480,21
5589,21
13341,21
12900,21
18870,21
12579,21
6653,21
8249,21
11809,21
18387,21
10202,21
19279,21
22443,21
16319,21
13021,21
6395,21
18375,21
10562,21
15314,21
13652,21
3606,21
13530,21
8301,21
17779,21
3648,21
20086,21
20919,21
18325,21
12738,21
15052,21
20543,21
2981,21
19028,21
10717,21
14458,21
20192,21
20875,21
18938,21
21833,21
10497,21
8524,21
19816,21
17427,21
13352,21
9095,21
21195,21
13485,21
22366,21
20299,21
18464,21
12485,21
18181,21
18641,21
19851,21
18124,21
5995,21
10875,21
21050,21
21608,21
18083,21
6874,21
10959,20
19329,20
18957,20
8360,20
11329,20
5496,20
14492,20
2942,20
13505,20
18369,20
18910,20
19567,20
17710,20
8026,20
5844,20
20042,20
19778,20
20498,20
12523,20
17325,20
21755,20
4967,20
21623,20
9262,20
10973,20
12555,20
19247,20
18934,20
19830,20
21443,20
14539,20
14413,20
19892,20
20490,20
10769,20
18085,20
18283,20
4772,20
11379,20
19458,20
14451,20
11422,20
7308,20
2773,20
9284,20
19982,20
8467,20
8486,20
13428,20
15634,20
18214,20
15944,20
14027,20
19946,20
10648,20
4484,20
14102,20
19731,20
3757,20
5698,20
7195,20
10808,20
19762,20
20135,20
8188,20
18692,20
5361,20
19261,20
7750,20
21527,20
21629,20
14488,20
17512,20
10831,20
15055,20
9273,20
8961,20
14641,20
14307,20
3584,20
3499,20
17955,20
2031,20
19500,20
18040,20
6844,20
3073,20
22304,20
13634,20
9641,20
5562,20
5777,20
19486,20
16910,20
20261,20
13415,20
22311,20
19836,20
18703,20
1796,20
3047,20
16111,20
14060,20
5382,20
3906,20
10553,20
1618,20
21606,20
11274,20
9248,20
13888,20
14905,20
17253,20
9986,20
17007,20
12833,20
9519,20
8894,20
16814,20
20571,20
11472,20
17490,20
20864,20
21799,20
16548,20
10020,20
20001,20
14110,20
19758,20
20949,20
17811,20
17204,20
20539,20
21772,20
19715,20
16728,20
20052,20
10933,20
18456,20
14836,20
18050,20
21065,19
17393,19
9156,19
9348,19
13351,19
7911,19
10287,19
18304,19
7379,19
22380,19
17419,19
13976,19
13630,19
15427,19
17839,19
6766,19
16966,19
5388,19
18514,19
20913,19
10458,19
16778,19
7041,19
7694,19
8299,19
4672,19
19781,19
20007,19
18100,19
14782,19
10969,19
10511,19
15449,19
15918,19
17687,19
13755,19
18187,19
13503,19
10657,19
12424,19
9339,19
14906,19
9652,19
14076,19
13157,19
16467,19
21648,19
14668,19
17304,19
6622,19
5373,19
21301,19
18825,19
19308,19
12145,19
19963,19
17485,19
17411,19
7550,19
9434,19
6222,19
14032,19
13100,19
10002,19
21446,19
14874,19
6290,19
11946,19
6396,19
19707,19
8852,19
7095,19
16702,19
7422,19
22028,19
11971,19
7166,19
11775,19
9001,19
4225,19
17138,19
21366,19
11054,19
5808,19
6603,19
10419,19
21004,19
18171,19
18390,19
12165,19
16770,19
9566,19
17476,19
15433,19
12177,19
21355,19
20528,19
20923,19
15763,19
8957,19
6357,19
19846,19
9755,19
22433,19
8821,19
7196,19
19578,19
17010,19
21222,19
11179,19
10606,19
10914,19
19867,19
10235,19
21758,19
10882,19
16427,19
22062,19
18932,19
10976,19
17781,19
16053,19
10614,19
13228,19
18198,19
13257,19
16796,19
19853,19
18883,19
17801,19
13784,19
21173,19
12631,19
20338,19
16800,19
15128,19
20576,19
12852,19
15858,19
19481,19
20253,19
1418,19
19331,19
21523,19
11411,19
21367,19
14252,19
17048,18
22334,18
6264,18
12873,18
11901,18
18698,18
22186,18
8765,18
10262,18
20244,18
20745,18
15615,18
16422,18
15346,18
11041,18
22116,18
9599,18
11816,18
7157,18
8151,18
14444,18
4357,18
18327,18
7860,18
21977,18
1960,18
20768,18
2869,18
19679,18
16146,18
15129,18
15231,18
11128,18
14036,18
8514,18
14273,18
21987,18
19599,18
5896,18
10292,18
19640,18
16081,18
22085,18
17231,18
12814,18
10231,18
16355,18
17880,18
10953,18
20819,18
19734,18
5010,18
11494,18
9744,18
5439,18
10395,18
12204,18
5587,18
20131,18
13173,18
21672,18
4976,18
11677,18
13796,18
20036,18
20139,18
5345,18
11426,18
6562,18
16701,18
10579,18
4518,18
11992,18
15912,18
16769,18
16636,18
15290,18
15596,18
13691,18
11885,18
17307,18
20180,18
21930,18
5948,18
15570,18
20594,18
9059,18
15074,18
20650,18
12056,18
6920,18
13515,18
12629,18
5448,18
14900,18
7887,18
19710,18
12896,18
4786,18
15018,18
8718,18
18314,18
21025,18
19735,18
18423,18
22333,18
16890,18
11911,18
10056,18
2148,18
8381,18
7248,18
17804,18
17858,18
19416,18
10110,18
22373,18
999,18
8236,18
14399,18
9659,18
22027,18
14516,18
19174,18
21123,18
21550,18
12443,18
4987,18
7781,18
7776,18
6558,18
11917,18
15049,18
11004,18
17202,18
19505,18
8763,18
13562,18
5165,18
7565,18
15934,18
7134,18
14148,18
22196,18
19695,18
19854,18
22147,18
15814,18
16285,18
16379,18
10238,18
20782,18
12527,18
13361,18
15863,18
20970,18
14692,18
15707,18
14946,18
17434,18
20604,18
17670,18
14317,18
20398,18
10339,18
20015,18
14963,18
17339,18
18722,18
7436,17
9891,17
17316,17
20489,17
3821,17
16425,17
16273,17
9342,17
10418,17
9034,17
20359,17
21470,17
21951,17
14189,17
16615,17
10072,17
21891,17
3878,17
16197,17
5577,17
16295,17
9000,17
11187,17
13950,17
11230,17
18253,17
20091,17
18945,17
15110,17
21354,17
6447,17
17901,17
7135,17
12774,17
7029,17
8119,17
7653,17
17128,17
9972,17
13312,17
11698,17
5943,17
20132,17
16841,17
6342,17
17632,17
22156,17
19070,17
9360,17
6961,17
15568,17
19196,17
21509,17
19970,17
21078,17
19671,17
11185,17
13982,17
17778,17
14852,17
14089,17
20029,17
9493,17
18322,17
15721,17
16478,17
7525,17
15926,17
17275,17
17147,17
7288,17
16877,17
18488,17
15744,17
21207,17
19031,17
15041,17
10586,17
11178,17
11469,17
8558,17
6444,17
21458,17
13822,17
17429,17
13261,17
14809,17
2746,17
6390,17
18069,17
10844,17
19008,17
9858,17
13416,17
16208,17
17038,17
2422,17
12457,17
22118,17
22467,17
13353,17
15478,17
12050,17
20243,17
16246,17
19678,17
15653,17
10775,17
16131,17
18704,17
21260,17
6551,17
14619,17
8239,17
22011,17
15308,17
18416,17
13821,17
21037,17
13678,17
19245,17
19938,17
21763,17
19536,17
4809,17
21242,17
16398,17
12076,17
15328,17
17396,17
20254,17
9579,17
17071,17
13452,17
21129,17
21952,17
19242,17
19193,17
18759,17
13940,17
17058,17
16141,17
7948,17
14509,17
15426,17
18343,17
21948,17
17401,17
20446,17
9044,17
18162,17
19819,17
14018,17
21621,17
18092,17
16832,17
20116,17
17569,17
19808,17
22130,17
16742,16
10014,16
10988,16
19092,16
10166,16
14851,16
22392,16
13802,16
14297,16
18072,16
16818,16
7111,16
20790,16
16265,16
20468,16
16322,16
12646,16
5187,16
5495,16
15362,16
9279,16
8152,16
5086,16
13029,16
17646,16
7880,16
15303,16
21981,16
19943,16
18300,16
21790,16
6473,16
7502,16
12622,16
5942,16
22450,16
8387,16
9786,16
21140,16
22134,16
21840,16
8523,16
22022,16
18743,16
9165,16
9839,16
6174,16
14686,16
17650,16
19069,16
8713,16
8413,16
16159,16
10252,16
8544,16
6173,16
15561,16
22436,16
9081,16
6802,16
15259,16
9515,16
19525,16
21748,16
13517,16
22103,16
18121,16
8770,16
13178,16
10105,16
11603,16
13552,16
18665,16
9310,16
10833,16
16357,16
8805,16
13897,16
19222,16
13216,16
15929,16
13992,16
12332,16
5510,16
16823,16
19119,16
13783,16
10234,16
6581,16
13049,16
19305,16
17284,16
14928,16
10834,16
10018,16
15808,16
19496,16
11663,16
11045,16
9261,16
8067,16
9777,16
22115,16
12213,16
15631,16
6886,16
19428,16
9762,16
9174,16
10581,16
15373,16
19512,16
13917,16
13190,16
18294,16
16299,16
11687,16
15127,16
8367,16
15906,16
9471,16
18039,16
22224,16
22251,16
17169,16
17116,16
14079,16
9531,16
10174,16
18087,16
3676,16
6199,16
6340,16
17215,16
13872,16
9774,16
13458,16
22151,16
16420,16
21616,16
701,16
18949,16
17518,16
3649,16
7173,16
2280,16
18284,16
15276,16
18728,16
14348,16
4097,16
5835,16
11972,16
15899,16
21809,16
2651,16
18498,16
18440,16
10066,16
12640,16
19303,16
22066,16
18491,16
19954,16
20345,16
22020,16
20158,16
22259,16
21183,16
7080,16
17873,16
5289,16
19569,16
16678,16
9663,16
14748,16
11117,16
13572,16
17381,16
15084,16
11318,16
11123,16
20497,16
12276,16
15680,16
13085,16
17532,16
18696,16
20742,16
16786,16
20658,16
13726,16
17995,16
21513,16
15297,16
18762,16
22376,16
3880,16
12849,16
17669,16
